,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
150,32,8,0.1,4.16457,5.45413,False
151,10,10,100,6.18224,5.45009,False
152,10,10,1000,6.18223,5.45009,False
153,18,11,0.1,1.74854,5.37952,False
154,10,11,1000,5.91989,5.17292,False
155,10,11,100,5.91989,5.17292,False
156,10,9,10,7.72123,5.16145,False
157,32,8,1,4.6432,5.12435,False
158,10,12,100,5.78889,5.0734,False
159,10,12,1000,5.7889,5.0734,False
160,18,12,0.1,1.51881,4.95403,False
161,18,11,1,2.54343,4.91907,False
162,18,7,10,8.58038,4.87584,True
163,32,9,0.1,3.29174,4.85823,False
164,18,7,100,6.52635,4.8137,False
165,18,7,1000,6.52635,4.81369,False
166,10,10,10,6.89963,4.79958,False
167,10,11,10,6.28888,4.59762,False
168,10,12,10,5.86805,4.56118,False
169,32,9,1,3.78273,4.55012,False
170,18,12,1,2.28739,4.53885,False
171,56,7,0.1,4.53248,4.48234,False
172,18,8,100,5.85549,4.4228,False
173,18,8,1000,5.85546,4.4228,False
174,32,10,0.1,2.55849,4.37905,False
175,56,7,1,4.72291,4.26162,False
176,18,8,10,7.34511,4.2283,True
177,18,9,1000,5.30393,4.09448,False
178,18,9,100,5.30395,4.09448,False
179,32,10,1,3.05125,4.08448,False
180,32,11,0.1,1.98769,3.99119,False
181,56,8,0.1,3.98494,3.95781,False
182,18,10,1000,4.72148,3.85562,False
183,18,10,100,4.72149,3.85562,False
184,18,9,10,6.26566,3.78068,False
185,56,8,1,4.2042,3.75205,False
186,32,7,10,6.90914,3.73637,True
187,32,11,1,2.4612,3.70739,False
188,18,11,100,4.27518,3.69158,False
189,18,11,1000,4.27518,3.69158,False
190,32,12,0.1,1.56705,3.6857,False
191,18,12,100,4.06907,3.61071,False
192,18,12,1000,4.06906,3.61071,False
193,56,9,0.1,3.40121,3.53772,False
194,18,10,10,5.49416,3.48175,False
195,32,12,1,2.05581,3.4142,False
196,56,9,1,3.63939,3.34167,False
197,18,11,10,4.91292,3.27841,False
198,32,7,100,4.60167,3.23282,False
199,32,7,1000,4.60119,3.23281,False
200,32,8,10,5.99903,3.21754,True
201,56,10,0.1,2.83225,3.2039,False
202,18,12,10,4.49593,3.19646,False
203,100,7,0.1,3.49397,3.11521,False
204,56,10,1,3.08796,3.02029,False
205,32,8,100,4.33304,2.9952,False
206,32,8,1000,4.33298,2.9952,False
207,100,7,1,3.56854,2.9812,False
208,56,11,0.1,2.309,2.93681,False
209,32,9,10,5.2775,2.83826,False
210,56,7,10,5.70632,2.82033,True
211,32,9,100,3.9869,2.81686,False
212,32,9,1000,3.98685,2.81685,False
213,100,8,0.1,3.25721,2.78519,False
214,56,11,1,2.57897,2.76196,False
215,56,12,0.1,1.85376,2.72278,False
216,32,10,1000,3.67371,2.67555,False
217,32,10,100,3.67373,2.67555,False
218,100,8,1,3.34746,2.65672,False
219,32,11,1000,3.41134,2.57687,False
220,32,11,100,3.41135,2.57687,False
221,32,10,10,4.60241,2.56298,False
222,56,12,1,2.13609,2.55181,False
223,32,12,1000,3.10221,2.52425,False
224,32,12,100,3.10221,2.52425,False
225,100,9,0.1,2.96642,2.51303,False
226,56,8,10,4.97477,2.44884,True
227,100,9,1,3.06024,2.39042,False
228,32,11,10,4.02715,2.38623,False
229,100,10,0.1,2.64468,2.2868,False
230,32,12,10,3.62193,2.28016,False
231,56,7,100,3.29659,2.17818,False
232,56,7,1000,3.29636,2.17817,False
233,100,10,1,2.74732,2.17064,False
234,56,9,10,4.31159,2.16318,True
235,178,7,0.1,2.53688,2.13598,False
