,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
183,18,10,100,4.72149,3.85562,False
184,18,9,10,6.26567,3.78068,False
185,56,8,1,4.20419,3.75205,False
186,32,7,10,6.90914,3.73637,True
187,32,11,1,2.46121,3.70739,False
188,18,11,100,4.27518,3.69158,False
189,18,11,1000,4.27517,3.69158,False
190,32,12,0.1,1.56703,3.68571,False
191,18,12,1000,4.06906,3.61071,False
192,18,12,100,4.06906,3.61071,False
193,56,9,0.1,3.40121,3.53772,False
194,18,10,10,5.49416,3.48175,False
195,32,12,1,2.0558,3.4142,False
196,56,9,1,3.63939,3.34167,False
197,18,11,10,4.91292,3.27841,False
198,32,7,100,4.60167,3.23282,False
199,32,7,1000,4.60119,3.23281,False
200,32,8,10,5.99903,3.21755,True
201,56,10,0.1,2.83225,3.2039,False
202,18,12,10,4.49593,3.19645,False
203,100,7,0.1,3.49398,3.11521,False
204,56,10,1,3.08796,3.02029,False
205,32,8,100,4.33304,2.9952,False
206,32,8,1000,4.33299,2.9952,False
207,100,7,1,3.56854,2.9812,False
208,56,11,0.1,2.30901,2.93681,False
209,32,9,10,5.2775,2.83826,False
210,56,7,10,5.70633,2.82033,True
211,32,9,100,3.98689,2.81686,False
212,32,9,1000,3.98686,2.81685,False
213,100,8,0.1,3.25721,2.78519,False
214,56,11,1,2.57896,2.76196,False
215,56,12,0.1,1.85377,2.72278,False
216,32,10,1000,3.67372,2.67555,False
217,32,10,100,3.67373,2.67555,False
218,100,8,1,3.34746,2.65672,False
219,32,11,100,3.41135,2.57687,False
220,32,11,1000,3.41134,2.57687,False
221,32,10,10,4.6024,2.56297,False
222,56,12,1,2.13609,2.55181,False
223,32,12,100,3.10221,2.52425,False
224,32,12,1000,3.10221,2.52425,False
225,100,9,0.1,2.96643,2.51303,False
226,56,8,10,4.97476,2.44884,True
227,100,9,1,3.06023,2.39042,False
228,32,11,10,4.02715,2.38623,False
229,100,10,0.1,2.64468,2.2868,False
230,32,12,10,3.62193,2.28016,False
231,56,7,100,3.29659,2.17818,False
232,56,7,1000,3.29636,2.17817,False
233,100,10,1,2.74732,2.17064,False
234,56,9,10,4.31159,2.16318,True
235,178,7,0.1,2.53688,2.13598,False
236,100,11,0.1,2.3108,2.10278,False
237,178,7,1,2.61012,2.05725,False
238,100,7,10,4.28328,2.05352,True
239,56,8,100,2.99801,2.00824,False
240,56,8,1000,2.99771,2.00823,False
241,100,11,1,2.41927,1.99299,False
242,100,12,0.1,1.9828,1.95652,False
243,56,10,10,3.81455,1.94106,False
244,178,8,0.1,2.39839,1.91287,False
245,56,9,100,2.82398,1.88872,False
246,56,9,1000,2.8239,1.88872,False
247,100,12,1,2.09971,1.85258,False
248,178,8,1,2.43683,1.83547,False
249,56,10,100,2.68684,1.80612,False
250,56,10,1000,2.68681,1.80612,False
251,100,8,10,3.90476,1.79149,True
252,56,11,10,3.4113,1.77386,False
253,56,11,100,2.52336,1.75061,False
254,56,11,1000,2.52335,1.75061,False
255,178,9,0.1,2.26021,1.74054,False
256,56,12,100,2.38713,1.71788,False
257,56,12,1000,2.38713,1.71788,False
258,178,9,1,2.29822,1.66524,False
259,56,12,10,3.03158,1.65963,False
260,178,10,0.1,2.10945,1.6005,False
261,100,9,10,3.49824,1.59422,True
262,178,10,1,2.15168,1.52763,False
263,178,11,0.1,1.94341,1.48286,False
264,178,7,10,3.11,1.47472,True
265,316,7,0.1,1.85919,1.46185,False
266,100,10,10,3.06704,1.43796,True
267,316,7,1,1.91172,1.41425,False
268,100,7,100,2.29324,1.41418,False
269,100,7,1000,2.29319,1.41418,False
270,178,11,1,1.98669,1.4119,False
271,178,12,0.1,1.76912,1.38549,False
272,178,12,1,1.80887,1.31828,False
273,100,11,10,2.72656,1.31586,False
274,100,8,100,2.08616,1.31553,False
275,100,8,1000,2.08592,1.31551,False
276,316,8,0.1,1.73408,1.30617,False
277,178,8,10,2.86178,1.28951,True
278,316,8,1,1.78228,1.26133,False
279,100,9,100,1.89402,1.23482,False
280,100,9,1000,1.89387,1.23482,False
281,100,12,10,2.44309,1.22108,False
282,316,9,0.1,1.61907,1.18546,False
283,100,10,100,1.77172,1.17246,False
284,100,10,1000,1.7716,1.17246,False
285,178,9,10,2.62153,1.1466,True
286,316,9,1,1.64746,1.14155,False
287,100,11,100,1.69713,1.1306,False
288,100,11,1000,1.69711,1.1306,False
289,100,12,100,1.62969,1.10361,False
290,100,12,1000,1.62967,1.10361,False
291,316,10,0.1,1.52352,1.09231,False
292,316,10,1,1.53872,1.04833,False
293,316,7,10,2.14,1.04785,False
294,178,10,10,2.39645,1.04008,True
295,316,11,0.1,1.44081,1.01943,False
