,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
202,562,11,1,-1.21718,0.808212,False
203,562,11,10,-1.25358,0.796371,False
204,562,10,0.1,-1.15851,0.78376,False
205,562,10,1,-1.16065,0.781986,False
206,562,10,10,-1.20871,0.770299,False
207,562,9,0.1,-1.08948,0.757197,False
208,562,9,1,-1.09093,0.755449,False
209,562,9,10,-1.14642,0.744121,False
210,562,8,0.1,-0.99075,0.730831,False
211,562,8,1,-0.993976,0.729112,False
212,562,8,10,-1.0346,0.718122,False
213,562,7,0.1,-0.854839,0.704606,False
214,562,7,1,-0.854015,0.702926,False
215,562,7,10,-0.878867,0.692177,False
216,1000,12,0.1,-1.1335,0.681408,False
217,1000,12,1,-1.13477,0.680483,False
218,1000,12,10,-1.14638,0.672159,False
219,1000,11,0.1,-1.09574,0.664861,False
220,1000,11,1,-1.09679,0.663948,False
221,1000,11,10,-1.11625,0.655871,False
222,1000,10,0.1,-1.05238,0.648162,False
223,1000,10,1,-1.05313,0.647258,False
224,1000,10,10,-1.07957,0.639481,False
225,1000,9,0.1,-0.993239,0.631477,False
226,1000,9,1,-0.99408,0.630594,False
227,1000,9,10,-1.01139,0.623142,False
228,1000,8,0.1,-0.913623,0.61475,False
229,1000,8,1,-0.913231,0.61387,False
230,1000,8,10,-0.922508,0.606752,False
231,1000,7,0.1,-0.819533,0.597903,True
232,1000,7,1,-0.821198,0.597015,True
233,1000,7,10,-0.833391,0.590171,True
